lncRNA,protein,label
n339037,Q01844,1
n4541,Q15717,1
n341313,Q9Y6M1,1
n405614,Q15717,1
n379107,P26599,1
n387063,Q86X94,1
n341264,Q15717,1
n345138,Q15717,1
n408354,Q15717,1
n338641,Q15717,1
n383718,P26599,1
n386025,Q49AS9,1
n340852,Q15717,1
n344931,Q9NZI8,1
n345304,O00425,1
n385261,Q15717,1
n1835,Q15717,1
n385729,O00425,1
n340981,Q15717,1
n342613,Q15717,1
n341648,O00425,1
n381280,Q9HCE1,1
n367646,Q15717,1
n384234,Q15717,1
n338602,Q15717,1
n339370,O00425,1
n379122,Q9NZI8,1
n370849,Q15717,1
n408116,Q01844,1
n309,O43818,1
n346528,Q9UL18,1
n346528,Q9UKV8,1
n346528,Q9H9G7,1
n346528,Q9HCK5,1
n344741,Q9Y6M1,1
n407550,Q9Y6M1,1
n346101,Q49AS9,1
n383076,Q07955,1
n379480,Q15717,1
n338116,Q13148,1
n339456,O00425,1
n344720,Q15717,1
n339255,Q9NZI8,1
n339379,Q13148,1
n345248,Q15717,1
n344916,P35637,1
n406336,Q15717,1
n408895,Q07955,1
n410042,Q15717,1
n344941,Q13148,1
n385519,Q9NZI8,1
n340156,Q15717,1
n384936,Q9UL18,1
n384936,Q9UKV8,1
n384936,Q9H9G7,1
n384936,Q9HCK5,1
n384332,Q15717,1
n382094,O43251,1
n336291,Q13148,1
n339380,O00425,1
n381323,B7ZL34,1
n406900,Q9UKV8,1
n381375,Q07955,1
n407283,Q07955,1
n410722,O00425,1
n377788,P31483,1
n343060,Q8NDV7,1
n343060,Q9UPQ9,1
n343060,Q9HCJ0,1
n342010,P31483,1
n364139,P31483,1
n382930,Q15717,1
n340129,P35637,1
n338325,Q9Y6M1,1
n406134,Q15717,1
n367422,P31483,1
n326329,Q15717,1
n340903,O00425,1
n378063,Q07955,1
n381057,Q01844,1
n377660,Q07955,1
n342501,Q9Y6M1,1
n381200,Q15717,1
n378782,Q49AS9,1
n409707,Q15717,1
n345457,Q15717,1
n338197,Q9UKV8,1
n345458,Q9Y6M1,1
n384686,O00425,1
n336291,Q15717,1
n405691,Q07955,1
n372674,Q15717,1
n343048,P35637,1
n385822,Q9UKV8,1
n368044,P35637,1
n405993,Q15717,1
n342409,B7ZL34,1
n342302,Q15717,1
n346116,Q07955,1
n342353,Q15717,1
n344755,Q49AS9,1
n340269,P26599,1
n405487,Q9Y6M1,1
n344687,P35637,1
n377214,P35637,1
n381430,Q9UKV8,1
n342861,Q15717,1
n5623,O43172,1
n410105,Q9NZI8,1
n341752,Q15717,1
n342712,Q07955,1
n346533,Q9Y6M1,1
n340290,Q07955,1
n337988,Q15717,1
n342875,Q8NDV7,1
n342875,Q9UPQ9,1
n342875,Q9HCJ0,1
n381846,Q9Y6M1,1
n367887,Q9UKV8,1
n341569,Q9NZI8,1
n346041,Q07955,1
n342437,O00425,1
n342230,Q86X94,1
n384858,Q13148,1
n341236,Q15717,1
n339255,Q9Y6M1,1
n378478,P35637,1
n345647,Q15717,1
n408241,Q07955,1
n341721,Q9Y6M1,1
n344530,Q15717,1
n339966,Q9UKV8,1
n383634,Q15717,1
n385130,P35637,1
n340156,P35637,1
n384605,O00425,1
n386492,Q49AS9,1
n375526,P31483,1
n340529,O00425,1
n338415,Q13148,1
n410191,Q9NZI8,1
n379841,Q15717,1
n381979,Q07955,1
n338591,Q9UKV8,1
n366714,Q01844,1
n345574,Q9Y6M1,1
n333428,Q9Y6M1,1
n382553,Q49AS9,1
n341587,P35637,1
n340011,Q15717,1
n383747,P35637,1
n385667,Q15717,1
n385059,Q15717,1
n341245,Q9HCE1,1
n382502,Q15717,1
n340008,Q13148,1
n340115,Q9UL18,1
n340115,Q9UKV8,1
n340115,Q9H9G7,1
n340115,Q9HCK5,1
n344996,Q9UL18,1
n344996,Q9UKV8,1
n344996,Q9H9G7,1
n344996,Q9HCK5,1
n384655,Q15717,1
n344745,Q49AS9,1
n383556,O00425,1
n345670,P35637,1
n337950,Q9Y6M1,1
n386110,Q07955,1
n342135,Q15717,1
n382927,Q07955,1
n377707,Q07955,1
n340549,Q49AS9,1
n326601,Q15717,1
n340901,Q15717,1
n368447,P31483,1
n407163,Q07955,1
n408071,Q07955,1
n345781,P31483,1
n340190,Q01844,1
n410161,Q15717,1
n344748,Q9UL18,1
n344748,Q9UKV8,1
n344748,Q9H9G7,1
n344748,Q9HCK5,1
n407749,Q49AS9,1
n344778,P26599,1
n407887,Q49AS9,1
n338288,O00425,1
n378714,O00425,1
n338877,P26599,1
n386231,Q15717,1
n342618,Q07955,1
n339627,O00425,1
n344656,Q9NZI8,1
n374660,Q49AS9,1
n341274,Q15717,1
n339341,Q15717,1
n384936,Q15717,1
n407721,P35637,1
n340793,P31483,1
n336934,Q9UL18,1
n336934,Q9UKV8,1
n336934,Q9H9G7,1
n336934,Q9HCK5,1
n409084,P31483,1
n381409,Q15717,1
n335106,P35637,1
n385240,Q07955,1
n341049,Q15717,1
n344627,P35637,1
n339642,Q9Y6M1,1
n381509,Q15717,1
n385210,Q49AS9,1
n346186,P31483,1
n406480,Q15717,1
n384720,Q15717,1
n379718,Q15717,1
n405569,Q9Y6M1,1
n3894,Q15717,1
n342295,Q07955,1
n382094,Q49AS9,1
n410671,Q86X94,1
n340852,B7ZL34,1
n344741,P35637,1
n344530,Q9UKV8,1
n341459,P35637,1
n344871,Q9Y6M1,1
n381430,Q9NZI8,1
n341330,Q15717,1
n343050,O00425,1
n382015,Q15717,1
n386332,Q9HCE1,1
n342631,Q15717,1
n369769,Q07955,1
n383236,Q9UKV8,1
n381344,Q9Y6M1,1
n407249,Q07955,1
n386025,Q9UKV8,1
n338380,Q9Y6M1,1
n337930,P31483,1
n342118,Q15717,1
n346535,Q15717,1
n407311,Q86X94,1
n343005,Q49AS9,1
n379340,Q9NZI8,1
n337830,Q15717,1
n406145,Q49AS9,1
n340475,Q9NZI8,1
n342045,Q07955,1
n375683,Q15717,1
n385947,Q13148,1
n346545,Q49AS9,1
n342987,Q13148,1
n385512,O00425,1
n410638,P35637,1
n338192,Q07955,1
n365737,Q9NZI8,1
n339461,P35637,1
n341313,O00425,1
n339003,Q9UL18,1
n339003,Q9UKV8,1
n339003,Q9H9G7,1
n339003,Q9HCK5,1
n344678,Q49AS9,1
n341245,Q49AS9,1
n339384,P26599,1
n345934,Q49AS9,1
n345449,Q8NDV7,1
n345449,Q9UPQ9,1
n345449,Q9HCJ0,1
n344659,Q9HCE1,1
n337909,Q9Y6M1,1
n344814,Q15717,1
n342658,P26599,1
n341599,P26599,1
n409143,Q13148,1
n382233,Q13148,1
n386025,O00425,1
n383218,Q15717,1
n386538,Q9UL18,1
n386538,Q9UKV8,1
n386538,Q9H9G7,1
n386538,Q9HCK5,1
n385185,P26599,1
n408220,Q9Y6M1,1
n339736,O00425,1
n338114,B7ZL34,1
n341747,Q15717,1
n382286,Q9NZI8,1
n337711,Q9Y6M1,1
n378094,Q01844,1
n382094,Q15717,1
n5382,Q01844,1
n374538,Q07955,1
n341836,P35637,1
n405912,Q07955,1
n384624,Q9UL18,1
n384624,Q9UKV8,1
n384624,Q9H9G7,1
n384624,Q9HCK5,1
n405399,Q07955,1
n342336,P35637,1
n344574,Q49AS9,1
n335713,Q9UL18,1
n335713,Q9UKV8,1
n335713,Q9H9G7,1
n335713,Q9HCK5,1
n344748,Q15717,1
n381623,Q15717,1
n385370,P26599,1
n411142,Q15717,1
n343011,P31483,1
n342202,Q07955,1
n340053,P26599,1
n411680,Q07955,1
n407071,O00425,1
n344808,O00425,1
n338024,O00425,1
n345473,Q15717,1
n386448,Q9NZI8,1
n385725,Q49AS9,1
n406931,Q15717,1
n384215,Q9UKV8,1
n374530,Q15717,1
n367989,Q13148,1
n385519,O00425,1
n376203,Q9UL18,1
n376203,Q9UKV8,1
n376203,Q9H9G7,1
n376203,Q9HCK5,1
n340981,Q01844,1
n384996,O00425,1
n382698,Q07955,1
n344748,P35637,1
n386025,Q15717,1
n365664,Q49AS9,1
n338513,Q15717,1
n381184,Q15717,1
n384270,Q15717,1
n407887,P31483,1
n345800,P35637,1
n342045,Q49AS9,1
n376275,Q13148,1
n337711,P35637,1
n338089,Q15717,1
n338060,P31483,1
n382059,Q49AS9,1
n336293,Q9NZI8,1
n365323,P31483,1
n342555,Q9UKV8,1
n363651,P31483,1
n344741,Q9NZI8,1
n382094,B7ZL34,1
n337758,Q01844,1
n345059,Q15717,1
n340164,Q13148,1
n336975,Q15717,1
n339824,O00425,1
n346398,Q9NZI8,1
n342724,P31483,1
n377771,O00425,1
n408302,Q07955,1
n343018,Q9UKV8,1
n346464,O00425,1
n344775,Q15717,1
n381720,Q15717,1
n346329,B7ZL34,1
n381430,P35637,1
n384228,Q49AS9,1
n381057,Q49AS9,1
n342758,Q9UL18,1
n342758,Q9UKV8,1
n342758,Q9H9G7,1
n342758,Q9HCK5,1
n341490,P35637,1
n376985,P26599,1
n407922,Q15717,1
n342688,Q15717,1
n406883,Q15717,1
n381846,P26599,1
n377642,Q15717,1
n387602,Q9Y6M1,1
n381773,Q9UL18,1
n381773,Q9UKV8,1
n381773,Q9H9G7,1
n381773,Q9HCK5,1
n325523,Q15717,1
n335584,Q9NZI8,1
n341314,Q15717,1
n339210,Q07955,1
n386735,Q15717,1
n3892,Q13148,1
n341486,Q9Y6M1,1
n407550,O00425,1
n342332,Q9Y6M1,1
n345630,Q49AS9,1
n379114,Q13148,1
n345421,Q15717,1
n340638,Q13148,1
n384073,P26599,1
n341903,O00425,1
n343087,Q07955,1
n381846,Q13148,1
n337988,Q49AS9,1
n343087,Q15717,1
n343087,Q9HCE1,1
n368106,Q49AS9,1
n343030,P09132,1
n344517,Q49AS9,1
n384480,Q9UL18,1
n384480,Q9UKV8,1
n384480,Q9H9G7,1
n384480,Q9HCK5,1
n409172,Q07955,1
n341787,Q15717,1
n406296,Q49AS9,1
n342957,P31483,1
n381521,P35637,1
n339865,Q49AS9,1
n346404,P26599,1
n337758,Q15717,1
n387060,Q9Y6M1,1
n344659,Q01844,1
n383230,Q9NZI8,1
n338479,P35637,1
n338205,Q9UKV8,1
n384210,Q49AS9,1
n342555,Q9Y6M1,1
n342436,Q9Y6M1,1
n384770,P31483,1
n370205,Q49AS9,1
n344574,O00425,1
n338554,Q15717,1
n341376,P26599,1
n370618,O00425,1
n341643,Q13148,1
n339646,B7ZL34,1
n341376,Q01844,1
n344540,O43251,1
n378866,O00425,1
n341261,Q15717,1
n382037,P35637,1
n406480,Q9Y6M1,1
n383209,Q9Y6M1,1
n344658,Q07955,1
n342569,Q07955,1
n381216,Q13148,1
n406866,O00425,1
n346227,Q07955,1
n342895,Q15717,1
n379350,O00425,1
n338047,Q07955,1
n337823,Q9UL18,1
n337823,Q9UKV8,1
n337823,Q9H9G7,1
n337823,Q9HCK5,1
n345322,Q13148,1
n345777,Q9NZI8,1
n342817,P35637,1
n384703,Q15717,1
n373886,Q15717,1
n341643,Q15717,1
n370452,P35637,1
n381557,Q8NDV7,1
n381557,Q9UPQ9,1
n381557,Q9HCJ0,1
n338577,Q9NZI8,1
n333358,P31483,1
n346167,O00425,1
n324691,Q13148,1
n379692,Q15717,1
n345433,P31483,1
n381184,O00425,1
n385229,O00425,1
n339518,Q49AS9,1
n379340,P31483,1
n382975,Q49AS9,1
n377672,Q15717,1
n328253,P62310,1
n377932,P35637,1
n406154,Q9NZI8,1
n363933,Q15717,1
n341904,Q49AS9,1
n325646,P26599,1
n339588,P26599,1
n385245,Q07955,1
n338367,Q15717,1
n381351,Q9HCE1,1
n378107,P35637,1
n386976,O00425,1
n344778,Q9UKV8,1
n410487,Q9NZI8,1
n345934,P35637,1
n385123,Q15717,1
n341049,Q49AS9,1
n338084,O00425,1
n346464,Q9NZI8,1
n339541,Q9Y6M1,1
n380148,Q15717,1
n342302,P35637,1
n411679,Q07955,1
n384227,Q8NDV7,1
n384227,Q9UPQ9,1
n384227,Q9HCJ0,1
n337966,Q15717,1
n363765,Q9Y6M1,1
n385727,Q15717,1
n383730,P35637,1
n377300,Q13148,1
n381846,Q15717,1
n340567,Q15717,1
n344808,Q9Y6M1,1
n384202,P35637,1
n378880,P35637,1
n338009,Q13148,1
n342712,O00425,1
n385185,B7ZL34,1
n342842,Q15717,1
n405705,Q07955,1
n340549,Q15717,1
n364975,O00425,1
n371301,Q15717,1
n337671,P26599,1
n341997,O00425,1
n377818,Q9NZI8,1
n337758,P35637,1
n381623,Q13148,1
n337930,P26599,1
n345934,Q15717,1
n363765,Q9NZI8,1
n377859,P26599,1
n381011,Q15717,1
n345405,Q13148,1
n387393,Q9HCE1,1
n338471,P35637,1
n342543,O00425,1
n386735,Q01844,1
n410457,Q01844,1
n338306,Q9NZI8,1
n343016,Q01844,1
n382643,Q15717,1
n345666,P35637,1
n342049,O00425,1
n377932,Q9NZI8,1
n379406,Q49AS9,1
n344960,O00425,1
n338875,Q9Y6M1,1
n4758,Q00839,1
n383233,Q15717,1
n344709,Q9Y6M1,1
n382077,P35637,1
n336296,Q01844,1
n386682,Q49AS9,1
n337911,Q49AS9,1
n378252,Q96PU8,1
n339158,Q49AS9,1
n345070,Q07955,1
n341320,Q15717,1
n379043,Q07955,1
n410063,Q9Y6M1,1
n410105,Q9Y6M1,1
n338203,Q15717,1
n338859,Q15717,1
n377799,Q01844,1
n385130,Q13148,1
n342423,O00425,1
n371342,P31483,1
n342044,Q13148,1
n345277,Q9UL18,1
n345277,Q9UKV8,1
n345277,Q9H9G7,1
n345277,Q9HCK5,1
n341569,Q9Y6M1,1
n382474,Q07955,1
n385229,Q9NZI8,1
n341065,Q15717,1
n386532,P26599,1
n385725,P35637,1
n407447,O00425,1
n385425,B7ZL34,1
n387722,Q9NZI8,1
n407588,Q15717,1
n382511,Q15717,1
n344778,Q15717,1
n339349,Q13148,1
n387210,Q15717,1
n344490,Q9UKV8,1
n344775,Q9Y6M1,1
n339003,Q8NDV7,1
n339003,Q9UPQ9,1
n339003,Q9HCJ0,1
n383033,O00425,1
n339552,O00425,1
n407413,Q9Y6M1,1
n346545,Q07955,1
n405460,P31483,1
n385145,P31483,1
n324177,Q13148,1
n346430,Q15717,1
n407071,Q15717,1
n338897,Q15717,1
n407346,P26599,1
n346200,Q15717,1
n344720,P31483,1
n333358,Q15717,1
n337711,Q15717,1
n377769,O43251,1
n376189,Q15717,1
n344547,Q9UKV8,1
n339282,Q9NZI8,1
n344758,Q15717,1
n345751,P26599,1
n345653,B7ZL34,1
n326457,Q07955,1
n406992,Q15717,1
n345405,Q15717,1
n385425,Q9Y6M1,1
n340495,P35637,1
n341044,P31483,1
n405569,Q07955,1
n345934,O00425,1
n345138,P35637,1
n338615,Q13148,1
n339432,Q8NDV7,1
n339432,Q9UPQ9,1
n339432,Q9HCJ0,1
n407073,Q9UKV8,1
n341574,Q13148,1
n385468,Q86X94,1
n344604,P26599,1
n364570,Q15717,1
n379574,Q49AS9,1
n369093,Q15717,1
n343050,Q01844,1
n345385,Q9Y6M1,1
n381773,Q07955,1
n323814,Q15717,1
n345255,O00425,1
n384625,Q9NZI8,1
n365664,Q15717,1
n410066,Q15717,1
n385667,P26599,1
n345105,Q15717,1
n345424,P26599,1
n341330,Q9NZI8,1
n337863,Q9UL18,1
n337863,Q9UKV8,1
n337863,Q9H9G7,1
n337863,Q9HCK5,1
n340903,Q15717,1
n406872,Q9UL18,1
n406872,Q9UKV8,1
n406872,Q9H9G7,1
n406872,Q9HCK5,1
n340049,P35637,1
n380108,P35637,1
n345385,O00425,1
n342795,Q13148,1
n384964,Q15717,1
n346398,Q15717,1
n383862,Q9Y6M1,1
n368044,Q15717,1
n409683,Q9UKV8,1
n377834,B7ZL34,1
n387719,Q86X94,1
n377137,Q15717,1
n346537,Q9Y6M1,1
n340950,P35637,1
n379095,Q15717,1
n372019,P31483,1
n339807,Q15717,1
n339306,Q13148,1
n338264,O00425,1
n379950,Q15717,1
n379972,Q15717,1
n345040,P35637,1
n380060,Q13148,1
n345685,Q86X94,1
n5296,O60832,1
n372815,Q9HCE1,1
n342994,Q15717,1
n338646,Q15717,1
n338129,O00425,1
n342985,O94992,1
n370574,Q49AS9,1
n341094,Q15717,1
n407851,O00425,1
n405504,Q86X94,1
n339833,Q9Y6M1,1
n381272,Q15717,1
n382511,B7ZL34,1
n346376,Q9HCE1,1
n342724,O00425,1
n383038,Q07955,1
n384770,Q9UL18,1
n384770,Q9UKV8,1
n384770,Q9H9G7,1
n384770,Q9HCK5,1
n382502,P35637,1
n407073,P35637,1
n369997,Q15717,1
n341290,Q9Y6M1,1
n364544,Q15717,1
n379342,O00425,1
n344457,Q9UL18,1
n344457,Q9UKV8,1
n344457,Q9H9G7,1
n344457,Q9HCK5,1
n345618,Q13148,1
n387393,Q9NZI8,1
n341607,Q49AS9,1
n324177,Q15717,1
n385787,Q15717,1
n407412,Q07955,1
n342569,Q49AS9,1
n345568,O00425,1
n344778,Q49AS9,1
n342331,Q13148,1
n344653,Q9Y6M1,1
n337823,Q49AS9,1
n372462,Q15717,1
n338615,Q01844,1
n382094,Q9NZI8,1
n328253,Q9Y4Z0,1
n381351,P31483,1
n344748,Q86X94,1
n337649,Q49AS9,1
n374061,O00425,1
n340240,O00425,1
n345046,Q13148,1
n364760,O00425,1
n343016,Q15717,1
n372944,Q15717,1
n345474,Q15717,1
n344693,P35637,1
n338028,O00425,1
n338856,Q15717,1
n339668,Q9Y6M1,1
n343070,Q13148,1
n376189,P35637,1
n385245,Q49AS9,1
n407311,P35637,1
n346356,Q49AS9,1
n345260,O00425,1
n340529,Q15717,1
n406192,Q07955,1
n345653,O00425,1
n384480,P35637,1
n410153,Q9NZI8,1
n369879,Q9UKV8,1
n406144,Q07955,1
n339544,O00425,1
n373787,Q15717,1
n338028,Q01844,1
n407761,Q9UKV8,1
n385425,Q49AS9,1
n406225,Q13148,1
n411680,Q9Y6M1,1
n342106,Q15717,1
n387706,P31483,1
n377981,Q13148,1
n339096,Q9NZI8,1
n411142,Q9Y6M1,1
n341568,Q13148,1
n340549,Q9Y6M1,1
n385729,Q9NZI8,1
n377310,Q15717,1
n344771,Q13148,1
n344604,Q9Y6M1,1
n380806,Q49AS9,1
n368398,Q13148,1
n345622,Q15717,1
n379466,Q15717,1
n340689,Q86X94,1
n407513,Q9UKV8,1
n341065,Q9HCE1,1
n386343,Q9HCE1,1
n344960,Q15717,1
n424067,Q9UL18,1
n424067,Q9UKV8,1
n424067,Q9H9G7,1
n424067,Q9HCK5,1
n340108,Q9NZI8,1
n384927,Q9NZI8,1
n344775,Q96PU8,1
n405416,Q15717,1
n383175,Q9NZI8,1
n381912,O00425,1
n381878,Q9UL18,1
n381878,Q9UKV8,1
n381878,Q9H9G7,1
n381878,Q9HCK5,1
n386641,Q9NZI8,1
n383327,Q15717,1
n338833,P35637,1
n338027,Q9NZI8,1
n369453,Q01844,1
n338265,Q86X94,1
n364088,Q49AS9,1
n338526,O00425,1
n342724,Q9Y6M1,1
n344699,Q9NZI8,1
n341094,Q01844,1
n337768,P26599,1
n337759,Q15717,1
n411720,Q15717,1
n341490,Q9Y6M1,1
n339223,Q9Y6M1,1
n376473,Q9HCE1,1
n381078,Q49AS9,1
n325622,Q13148,1
n372524,Q49AS9,1
n344894,Q9NZI8,1
n346094,Q01844,1
n341862,Q01844,1
n339003,Q9Y6M1,1
n328168,Q49AS9,1
n377639,Q15717,1
n382276,Q13148,1
n386977,Q9NZI8,1
n341297,O00425,1
n345807,Q15717,1
n5623,Q8TEQ6,1
n386178,Q07955,1
n5543,P35637,1
n409683,Q15717,1
n342355,Q86X94,1
n325043,Q49AS9,1
n364686,O00425,1
n344703,P35637,1
n340312,Q49AS9,1
n340549,P31483,1
n405484,Q13148,1
n411727,Q07955,1
n405417,Q07955,1
n407257,Q07955,1
n343050,Q9Y6M1,1
n344745,Q9UKV8,1
n340157,Q15717,1
n342985,Q4G0J3,1
n338217,Q9Y6M1,1
n342795,Q15717,1
n344461,Q49AS9,1
n375715,Q13148,1
n338886,Q15717,1
n384946,Q49AS9,1
n374530,Q9HCE1,1
n345297,Q13148,1
n407520,Q15717,1
n341076,Q13148,1
n376203,Q9NZI8,1
n340032,Q13148,1
n410457,Q9NZI8,1
n338223,P35637,1
n385729,Q9Y6M1,1
n381022,Q9UKV8,1
n378726,Q49AS9,1
n5623,O75940,1
n381616,O00425,1
n383209,Q07955,1
n339446,Q15717,1
n385039,O00425,1
n407729,Q07955,1
n345458,Q01844,1
n382231,Q9HCE1,1
n373790,P35637,1
n341993,Q15717,1
n381585,Q15717,1
n343060,Q9Y6M1,1
n343048,Q9UL18,1
n343048,Q9UKV8,1
n343048,Q9H9G7,1
n343048,Q9HCK5,1
n385531,Q07955,1
n342729,Q9UKV8,1
n346361,O00425,1
n338087,Q9NZI8,1
n337768,Q9NZI8,1
n338114,Q49AS9,1
n340921,P35637,1
n334786,Q15717,1
n407887,Q13148,1
n377837,Q15717,1
n385679,O00425,1
n378125,Q15717,1
n345386,P35637,1
n345781,Q15717,1
n383025,Q9UKV8,1
n346523,O00425,1
n340848,P26599,1
n339790,Q07955,1
n378252,Q13285,1
n378353,Q15717,1
n385511,Q15717,1
n1315,Q13148,1
n344678,P35637,1
n340049,Q86X94,1
n332636,P35637,1
n378068,P35637,1
n377986,Q15717,1
n386209,Q15717,1
n334052,Q49AS9,1
n342758,Q49AS9,1
n335106,Q15717,1
n408116,P35637,1
n340143,Q15717,1
n345232,Q15717,1
n379454,B7ZL34,1
n339862,O00425,1
n344628,P35637,1
n387306,Q15717,1
n406409,Q07955,1
n386682,Q9Y6M1,1
n345670,Q86X94,1
n333358,P35637,1
n377799,Q9NZI8,1
n344659,P35637,1
n383862,Q96PU8,1
n387017,Q07955,1
n342066,Q13148,1
n338027,Q9Y6M1,1
n342704,Q15717,1
n409683,O00425,1
n340008,Q15717,1
n406866,Q49AS9,1
n339986,Q15717,1
n340108,Q9HCE1,1
n378068,P31483,1
n339188,P35637,1
n382149,Q49AS9,1
n381078,Q9UKV8,1
n341096,Q49AS9,1
n383236,Q15717,1
n341590,Q13148,1
n385425,O00425,1
n344996,Q9Y6M1,1
n379107,Q9NZI8,1
n405620,Q9NZI8,1
n338931,Q9UL18,1
n338931,Q9UKV8,1
n338931,Q9H9G7,1
n338931,Q9HCK5,1
n342437,Q86X94,1
n380796,Q13148,1
n378247,P26599,1
n411142,O00425,1
n342299,Q15717,1
n387112,Q07955,1
n405985,Q07955,1
n345613,Q13148,1
n385272,Q13148,1
n344691,O00425,1
n345175,B7ZL34,1
n342010,Q01844,1
n382982,Q15717,1
n406449,Q9NZI8,1
n367375,Q15717,1
n386976,Q96PU8,1
n339347,Q9NZI8,1
n379426,Q07955,1
n407565,Q07955,1
n340143,O00425,1
n335544,Q9UKV8,1
n328168,Q01844,1
n387531,Q49AS9,1
n346497,Q07955,1
n376366,Q13148,1
n345161,Q9NZI8,1
n376473,P31483,1
n339862,Q15717,1
n337668,Q13148,1
n405477,Q15717,1
n344500,Q9Y6M1,1
n385119,Q9NZI8,1
n339347,Q15717,1
n338605,O00425,1
n342985,Q6IPL9,1
n342612,P35637,1
n336934,Q86X94,1
n342913,Q9NZI8,1
n340475,Q8NDV7,1
n340475,Q9UPQ9,1
n340475,Q9HCJ0,1
n344768,Q15717,1
n381351,Q96PU8,1
n341742,Q13148,1
n386627,Q07955,1
n387393,Q15717,1
n338060,Q9Y6M1,1
n385638,Q9UL18,1
n385638,Q9UKV8,1
n385638,Q9H9G7,1
n385638,Q9HCK5,1
n372205,Q9NZI8,1
n341486,O00425,1
n371524,P35637,1
n364085,Q13148,1
n338856,Q9UKV8,1
n384348,Q07955,1
n325322,Q49AS9,1
n341340,Q15717,1
n385106,P26599,1
n382918,Q9NZI8,1
n407163,P35637,1
n344814,Q9Y6M1,1
n406480,Q9UKV8,1
n382094,O00425,1
n408051,P26599,1
n345527,Q9Y6M1,1
n343060,Q9NZI8,1
n345670,Q15717,1
n366396,Q13148,1
n386260,P31483,1
